onca,caseiro,notícia,comment_text
0,1,0,"comeu carne humana vai  caçar carne humana sempre..<a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a>"
0,1,0,"Cara eu conheço a Amazônia,  você fala que onça lá tá em extinção você não conhece nada. Kkkkkkk.  Lá você tropeça em onça. Kkkkkkk"
1,2,1,Mesmo seres humanos podem comer outros em situações de fome e sobrevivência extrema como ocorreu com os passageiros do avião 571 que caiu na Cordilheira dos Andes entre outros casos.
0,2,1,"Esses animais quando bem alimentados não atacam o homem, mas quando estão com fome e sem a caça que eles estão acostumados, eles acabam atacando qualquer coisa que se meche. O sr. Jorginho está nos braços do Pai Celestial, quanto ao animal ele só tem essa vida."
0,0,1,"@@MegaLemoslemos mas ele viu que  ela tava rodando muito perto..poderia ter saído do rancho..eu em , essas onças são perigosas.."
0,1,1,"Se ele tivesse matado a onça ele tinha Cido preso  como o causo da moça do Rio de Janeiro , mas foi o contrário a onça o matou ainda vai recebe um as excelente atemdimento"
0,2,1,Eu sonhei que os animais da selva estavam famintos. E eu sentia até dó. Mas eles estavam proximos as cidades...Tadinho desse senhor. Ele confiou demais.
0,1,1,Verdade estão valor ao animal doque pro ser humano
1,0,1,Eles andavam era dando comida pra ela tá aí no que Deu.
0,0,1,"😲 acho que ela tava com muita fome e achou uma presa fácil que não tinha como se defender, essas pessoas às vezes se expõem muito  sem ter noção de tão perigoso são esses animais selvagens 😢"
1,1,1,Culpa da humanidade que é responsável pela destruição do habitat delas.. então bem menos!!
1,1,1,Pq o próprio homem está destruíndo as matas....
1,1,1,"O ser humano não sofre instinção, os animais sim."
1,1,1,Brabo e eficientes para caça!
1,1,1,A palavra tem poder  cuidado  o que sai da boca
1,1,1,Os cães alertaria sim más seria a mesma coisa de colocar os cães a sacrifício a ceva do mesmo jeito que elas eram cevadas por peixes.
1,2,1,Meus sentimentos pra família de Sr. George 😢😢😢!
1,1,1,"Triste quando vc dá mais valor ao animal do que a vida humana . Vamos preservar , sim , mais pelo amor de Deus.."
1,0,1,"Desde de não levar o perigo a sério e a falta de uma arma de fogo e uma espera eficaz tudo junto foi negligência, sentimentos á família."
1,0,1,"O seu João duvidou ,brincou demais ,se foi por confiar em perigo"
1,0,1,Um viralata não preocupou com o seu Jorge na verdade ninguém preocupava com o homem porque se tivessem mais preocupações teriam evitado esse ataque que já era evidente.
1,1,2,"Parabéns pelo vídeo! Excelente, muito informativo.👏🏿👏🏿👏🏿"
1,1,2,Excelente trabalho. <br>Parabéns
2,1,1,Animal muito lindo
1,1,1,"Deus me livre, descanse em paz, que Deus receba de braços abertos 🙏🙌 vai com Deus"
1,1,2,"Parabéns ,mostrou tudo detalhado"
2,1,1,"Animal muito lindo, porém não podemos esquecer que se trata de um animal selvagem......"
1,1,1,Eu trabalhei numa usina sertã noite fraguei uma raposa rodando perto d vivência eu lumiava ela corria e voltava aí fiquei olhando aí dei tempo quando lumiei a raposa vi ela comendo algo fui olhar oke era tinha grão de arroz ovo era resto de comida pessoal do turno b tinha jogado<br>não de
2,1,1,"A onça foi perdendo o medo, não levaram fé na inteligência do animal. Ela estava estudando a presa. Lamentável, o falecido era experiente, . Nossos sentimentos aqui do RJ/RJ, para ele, luz e paz, a família força e resignação..P.S que bom não sacrificaram o animal"
2,1,1,A onça é vítima 😢pq ali é o território dela e ela estava faminta e deu o aviso😮
1,1,1,Ele não ficou de 👀
2,1,1,Elas são vítimas da sociedade
1,2,1,E porque o caseiro não ficava nesse casarão mais seguro? Já que sabia que a onça estava lhe frequentando....e. outra a casa que ele ficava não tem segurança nenhuma....muita imprudência do dono da pousada
2,1,1,"A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis."
1,1,1,É verdade!
1,1,2,"Excelente vídeo, parabéns!!"
1,1,1,E nós somos do espaço
1,2,1,"pois e! zona rural é obrigatorio andar armado, uma fatalidade, uma simples arma teria poupado a vida dele"
2,1,1,"Deus abençoe toda família.<br><br>A onça está no habitat natural dela, infelizmente nos seres humanos temos que correr atrás do nosso sustento"
2,1,2,"Lamentável. Minhas condolências à família. Parabéns pelo vídeo. Bem elaborado e sem sensacionalismo. Realmente onças não costumam ter o humano como mais uma alimentação, mas na hora da fome, se não encontra convencional, vai pessoas mesmo. Até racionais praticam canibalismo na hora da fome, imagine uma onça a opta por morrer de fome ou comer uma carne que não é seu prato preferido. Mas é a sua sobrevivência. Deus me livre, quero ver o pantanal só pela TV."
2,1,1,Estão Invadindo o Habitar da Onça Esses Covardes 😡😡😡😡😡😡😡😡😡😡😡😡
1,1,1,"Enquanto a onça comia esse coitado, o Lula comia nossa aposentadoria. Faz o L!"
1,1,0,Ver o que vc não mostrou nada só falou o mesmo q os outros estão falando aff
1,1,0,E o ser humano é da onde
1,1,1,O &quot;FATO&quot; só confirma uma coisa. Como o uso de arma de fogo pra defesa pessoal pode ser uma questão tão difícil no Brasil? Dentro da propriedade não era pra ser siquer questionado pela justiça.. arma fogo garanti a defesa que o ESTADO nunca pode oferecer.
1,1,1,"O equilíbrio biológico é necessário para vida de todos,animais ferozes não podem se reproduzir sem controle"
2,1,1,Não é que os animais sejam mais valorizados. Acontece que a onça-pintada está em risco de extinção e se ela desaparecer afetará todo o equilíbrio ecológico do pantanal e de outras florestas onde vivem.
1,1,1,Não pode ser subtimada jamais
1,1,1,"Passando fome?  Duvido! Com o tanto de javalis, porcos do mato, catetos, java porcos, jacarés, capivaras, antas, peixes, etc, etc. Tem bicho a rodo para a onça caçar!"
1,1,2,Que reportagem excelente viu
2,1,1,"E põe ágeis nisso! Uma ataque ele estando em uma passarela como essa teria que vê-la primeiro estar no minimo com uma boa faca nas mãos sangue nos olhos e mesmo assim perderia alguns dedos, carne em algumas partes e sairia muito ferido! Já na beira do rio sem ter essa pequena proteção da passarela mesmo com a faca seria sem chance devido a velocidade e o pulo que o jogaria longe."
2,1,1,Se fosse comigo essa onça já tava dormindo a muito tempo
1,1,1,Fala que eu vou ficar rico?
0,1,1,Ela o matou no espaço da residência e não no mato então ele não estava invadindo seu espaço. Era para ser morta também  pois matou um ser humano.
2,1,1,Imaginem só matar cada onça  que aparecesse nas redondezas elas seriam extintas nessa região
1,1,0,"Conta outra, Bolsonaro. 😂"
1,1,1,É verdade! Concordo plenamente com você. Tem que estar preparado pra qualquer coisa e situação.
1,2,1,"Três ainda, e ele já estava velhinho não precisava ficar trabalhando em um lugar isolado e sozinho"
1,1,1,"O problema tbem, é q se outra onças, provaram da carne huma , e beberam o sangue do Sr George!! Provavelmente, eles agora vão querer, caçar, mas humanos pra comer!!"
1,1,1,Ótimo trabalho da ambiental.
0,1,1,Deveria ter era uma espingarda calibre 12
1,1,1,"Semana passada cachorros de rua comeram um pé e uma orelha de um bebê vivo, abandonado pela mãe no mato em Andrelandia / MG. <br><br>Todo predador pode predar um ser humano.<br><br>Bichos não são anjinhos nem bebês, como alguns querem crer e ensinar."
1,1,2,"Vídeo sem sensacionalismo, muito bom e explicativo"
2,1,1,"Espero que não façam mal nenhum ao animal,elas não têm culpa,por outro lado ele deveria ter sido mais prudente.Sinto por ele e pela família. Que o animal seja protegido!"
0,1,1,A onça estudou os passos do Sr. Jorge...
0,1,0,"Vai vc e passa no meio dela ou delas e veja o que acontece. Essa que a onca onça não vê o ser humano como comida é um mito, é lendário."
1,1,1,Deus conforte família tadinho seu Jorge qui dó
2,1,1,"Oi? Você tá questionando o atendimento dado a um ser irracional que teve seu lugar invadido pelo ser humano? Áh, pelo amor de deus, cara, kkkkk"
0,1,1,Ja teve... A onça comeu!
1,1,1,"Meu irmão, me desculpe retrucar sobre seu comentário.<br>Mais esse teu comentário não cabe nesse caso.<br>Esses comentários de quê  o desmatamento é o culpado pôr várias coisas quê acontece, isso é besteira.<br>Se você mora numa capital, creio eu quê aí onde você mora e hoje é uma grande cidade, cheias de indústrias e emprego.<br>Com certeza aí um dia já foi uma grande mata, e tá tudo certo.🤝🏽👍🏽"
0,0,1,"@@terepavan2315 Essa falácia de &quot;destruímos a casa deles&quot; tem q pensar melhor, nós também fazemos parte do reino animal e como os demais buscamos por sobrevivência, o caseiro não estava ali por esporte, estava para seu próprio sustento. e a onça logicamente também busca sua sobrevivência. É logico que ela o atacaria ao ter uma oportunidade seja ali ou em qualquer lugar. Infelizmente ele parece nao ter tomado as medidas de segurança necessárias e aconteceu essa fatalidade."
1,1,2,Obrigado 😅 aprendi observando meu gato 🐈😅
0,1,1,Ajuda aí né! Como pedir ajuda se a onça  mata. Tem que fazer barulho e fogo também  elas têm medo.
0,1,1,Elas estão se produzindo muito
1,1,1,Normal dela e 120 até 130 por aí
2,1,1,"lá não é o caso, pois é no pantanal e justamente pela preservação é que esses animais estavam lá, seu habitat natural."
2,1,1,Que animal belíssimo!!! Amo todos os felinos!!
1,1,1,Imagino a dor desse amigo 😢😢<br><br>Na hora nem dá pra agredita😢😢
1,1,1,Muito suspeito as câmeras pegou ela várias vezes e da pra ver os locais de ataque.<br>Porém as câmeras não pegaram o ataque.<br>Gostaria de saber porque as câmeras não pegaram o ataque.
2,1,1,"Seres humanos, do auge da sua &quot;coragem&quot; com rifles de caça, e do seu privilégio humano, exterminam animais a cada segundo que vc respira. Seja por caça, por esporte, por crueldade, por indiferença. A. Cada. Segundo. Que. Vc. Respira. (deu pra entender? Ou preciso deixar mais claro ou até desenhar?) animais estão sendo exterminados pelo orgulho e privilégio humano. Exterminados, caçados, torturados, tem seu habitat devastado por queimadas, etc. 1 única vez uma onça reverte o quadro, e chove imbecil falando &quot;vc valoriza mais a vida de uma onça do que um ser humano??? Ohhh seu monstro!!!!!&quot; Eis a hipocrisia do ser humano, é absolutamente sem limites e é nojento.  Onças (e incontáveis animais que venham à sua mente) são torturados com regularidade. Deixe sua hipocrisia de lado."
0,2,1,"Eu acho que ela também pode ter atacado por causa de território, é um caçador nato.Ela já tava rondando o rancho e até brigou com outra, além da fome foi por instinto coitado do caseiro."
0,1,1,"Onça comem qualquer coisa, estando com fome.😮😮😮😮"
2,1,1,Ó bicho lindo meu Deus 🐆😍🤔🩸
0,1,1,Se atacou humanos a regra é clara : TEM QUE ABATER senão ela voltará a caçar humanos!!! E para de mimimi!!
1,0,1,"Meu amigo, é isso que acontece quando não se respeita o meio ambiente"
1,1,1,Essa escapou restam 2 duas porque foram avistadas 3 onça
2,0,1,E triste mas não podemos  julgar o animal pois ainda somos nós que destruímos a casa deles  se for comparar tem animais seres humanos que ataca muito mais mata a sangue frio pra te roubar um simples celular
0,1,1,Precisamos Levar esta Onça lá no $TF ......
1,1,1,"Eu ficariA,porém teria pelo menos 3 cães comigo.Sempre  eu andaria com esses 3 cães.Quem mora no mato sabe da precisão de andar acompanhado com cães.Quem não conhece o ditado:Vc está no mato sem cachorro."
2,1,1,Onça é inocente. Não cometam maldades com ela.😢😢😢
1,1,1,Sinal q não foi feito nada por bolsonarista
1,1,2,Beleza de vidio Boa noite
0,1,1,Estão preocupados com esse animal maldoso a vida humana está sem valor
1,1,1,Queimam as matas e acaba o alimento delas
1,1,1,"Muita ceva também, os casos que tenho escutado sempre tem ceva.<br>Vai acostumando o bicho com a presença humana e ele perde o medo. <br>Mas de fato as notícias correm mais hoje em dia"
1,2,1,"Moro no Estado do Tocantins, nossa coitado, qual  a cidade que ele foi atacado."
1,1,1,"@lucaskandido  É verdade! Concordo plenamente com você. Na zona rural, todo cuidado é pouco."
1,0,1,O que faltou ao seu Jorge foi a devida prevenção ao perigo iminente.
1,1,1,Se jorginho tivesse um 3 oitao. A chance de ter sobrevivido seria alta.
2,0,1,"@@lorenaaparecida1753 Pode ser!  Sr. Jorge novo, tão confiante. Quando o vi lembrei de meu pai, e irmãos que sempre trabalharam na agricultura, muito próximo de selvas, (selva Amazônica), e tem muitas.  Mas graças a Deus nunca foram atacados, e nem nunca alimentaram esses animais.  Temos muito respeito pela natureza.  Convivíamos com ela lado a lado, sem agredi-la. Refiro-me a natureza.  Precisa ser respeitada."
0,1,1,"A onça provou carne humana . <br>Se nao for eliminada , pode querer mais!..."
1,1,1,O problema é q esquecem q esse bicho é um cacador...e q não faz amizade com ninguém
2,2,1,Pra que essa estupidez ?Cada qual com sua opinião .Eu amo felinos e a onça acho mais lindo de todos .Sinto muito pelo Seu Jorginho mas o animal não sabe que e maldade matar ​@@carlosvl41
2,1,1,"A onça só estava protegendo o seu território.<br>Muito antes do ser humano chegar ao Brasil, esses animais eram os donos da região."
2,1,1,"Ah, não faça isso. A onça deveria ser resgatada e levada para seu habitat. Cada vez mais que queimamos e cortar mistura nossas árvores, mais os animais vão invadir as cidades a procura de comida. Vm repensar as causas, não atacar as consequências."
2,1,1,Culpa da humanidade que é responsável pela destruição do habitat delas.. então bem menos!!
0,1,1,O problema da onça pintada é que ela ela não busca presa difícil quando ela sabe aonde tem presa fácil. Elas são inteligentes.
0,1,1,"Pura ilusão...era uma onça bem alimentada...aliás, pesaram a onça depois que devorou o seu Jorge...então, obviamente que pesaria mais do que o normal."
0,1,1,"Sim está acontecendo com mais frequência, não sei se  estes animais estão tendo dificuldade em se alimentar no seu habitat e por isto estão saído fora da área de mata fechada para procurar seu alimento! Antigamente coisa de uns 35 anos para traz  elas jamais vinham próximo a residência pois as residências são feitas fora e longe da área de mata fechada onde estes animais têm trânsito livre.<br>Alguma mudança ocorreu na natureza e desconhecemos, eles estão se aproximando cada vez mais da civilização humana ! E sim a onça ataca se estiver com fome!  Se ela não estiver com fome vai passar do seu lado e vai embora !"
1,1,1,@@Carlos-yv9lc somos civilizados e evoluimos para viver em sociedade se vc vive no mato e foi adotado por uma familia de jumento e se relaciona com cabras ai e problema seu
0,1,1,A onça vai fazer uma ressonância imagine quantas pessoas doentes nao tem Essa atenção!
0,2,1,"Eu fico imaginando senhor trabalhador morava naquele lugar que amava ,todo alegra foi destruído por uma desgraça desa ainda tem gente a favor de onça????? Onde vamos parar com essas ideias nojentas mentes sujas!!! Estão falando porque não foi parentes seus que ele devorou!!!, Senhorzinho perdeu a vida a famílhia ficou sem seu anti querido ainda acham que estar certo criar dar liberdade onça?????? Para isso um absurdo"
2,1,2,Parabéns pelo vidio  cuidar dos animais com carinho salvar para não  ser extintos Deus criou os animais para caçar elas tão  com fome as queimadas tão  acabando com os anjos animais elas vão  procurar nas casas  Deus abençoe  voceis.
0,1,1,Verdade um animal tem mais valor do que o ser humano infelizmente
2,1,1,Até  dormindo é  linda de mais pintadinha ❤
0,1,1,"Muito engraçado, a vida de uma desgraça dessas vale mais que a de um ser humano"
0,1,2,"Reportagem de respeito,que bom que não mataram a onça, infelizmente ocorreu uma fatalidade ela precisa ser levada para uma floresta densa. Parece que havia uma fêmea e outro macho também ouvi um rapaz falar em um video."
