onca,caseiro,notícia,comment_text
1,0,1,Vacilou demais o Jorge deus oportunidade para o acontecido 🤦🏿‍♂️
1,1,1,O cunhado disse que a onça iria comer o Jorge.  Palavras tem poder.  Temos que tomar cuidado no que falamos contra as pessoa.
1,0,1,"Lamentável ocorido 😢, mas pela reportagem a onça estava rondando o local a um mês. O certo era ter comunicado a policia ambiental para tomar devidas providências."
1,1,1,"Onça magra e com fome , pra onça qualquer coisa que se movesse por perto dela seria alimento."
1,1,1,​@@JEF-HENRIQUECada um tem o seu tempo de partir. Ninguém sabe o dia e nem a hora. 👍
1,1,0,"​@@WellingtonSilvadoNasciment-r2c sim, o sobrinho dele disse q a onça acabou amansando o tio dele neh, tem um vídeo que o rapaz fala que se ver onça, precisa fazer barulho pra espantar ela, n pode deixar ela se acostumar, pq ela vai começa a querer interagir e vai atacar"
1,0,1,O cunhado tava brincando mais ai ja foi um alerta pra ele ficar esperto mais infelizmente seu Jorge nao acreditou  que ela pudesse atacalo porque nao é normal uma onça ficar perto de   seres humanos mais como eles  deixaram ela se aproximar deles além dos peixes que tinha ali por perto a onça viu seu Jorge uma presa facil poriço o atacou muito triste mais aconteceu essa fatalidade
1,0,1,"Homem geralmente pensa assim: nunca fui atacado, não será agora que serei... Aí nisso acontece as coisas em confiar demais."
1,1,1,Um homem ainda novo😢
1,1,1,Pois é ver como foi esse ataque da onça ninja no vídeo pois eu vendo ataques de onça em capivara e vendo a quantida de sangue que ficou nesse loca ela decidiu esquartejar o cara…
1,1,1,Quem trabalha nessa região tem que usar  aquelas uma  pistola  de  choque  para defesa pessoal contra ataques desses animll
1,0,1,"Trabalha em um lugar desse sem arma sem cachorros, tem que fica muito ligado."
0,1,1,"Por isso tinha q matar... Mas, se fizer isso, vc é preso.  Como n pode, ela o matou."
0,2,1,"Esses animais quando bem alimentados não atacam o homem, mas quando estão com fome e sem a caça que eles estão acostumados, eles acabam atacando qualquer coisa que se meche. O sr. Jorginho está nos braços do Pai Celestial, quanto ao animal ele só tem essa vida."
1,0,1,"O ze ficava era brincando ,tantas imagens da onças la ao dia de madrugada o ze ainda saiu na madrugada, e muita inocencia mesmo como pode um peao velho ja vivido ficar ai com tanta onca e nao ter uma proteção nem uma vocês sabem do que eu falo ne ainda dava uma de 0t@r10 meu Deus"
1,1,1,Esse cara vacilou um pouco. Já tinha visto rastros de duas onças por perto. No outro dia foi atacado por uma delas. Acharam o resto do cara né. Onça come um pouco e esconde a carcaça para os outros dias
1,1,0,A onça k pegaram é pitoca não a do vídeo
1,1,1,Governo que eu digo é o IBAMA se fosse o contrário me fala ai ​@@gabrielrochamed
1,1,1,"Se tiver um encontro com a onça procurar a polícia ambiental? Tá bom, até parece que vai sair vivo desse encontro."
0,0,1,"Concordo com vc ,pra onca atacar ele  ,ele poderia ja saber das oncas e tratar dela ,e por confiar ,mais tem outros vídeos que mostrar pegadas de onca e mostra mais falaram que temha outras onca no local ,e um video mostra um enorme onca rondando a aerea vai saber ne ,mais os especialistas de animais fala seres humanos nao faz parte de cadeia alimenta dos animais"
0,1,1,Onça já matou milhares de brasileiros. Vida de onça atualmente é mais importante q a vida do ser humano
0,1,1,Agora o Ibama que defende essa merda desse animal indeniza a família onça não presta pra nada nem pra ser predador de javali ela a  não ataca não e fazer captura e moer na bala no lugar de anestésico
1,1,1,"Eu passo de boa. Fico dentro da casa , nao saio p nada😊"
1,1,1,A verdade é que realmente existe as imagens do ataque mais só que em respeito a família de seu Jorge não vão divulgar vi em um canal de grande relevância que tem a imagem da Câmara 1 hora antes do ataque que leva a crer que ela gravou o exato momento do ataque.
1,1,1,"Na biblia diz, que o animal que matar seres humano, deve ser morto, imagino que, é porque, se o animal ataca um humano, pode atacar outro ser humano."
1,0,1,"Seu Jorge deu sorte pro azar, infelizmente 😢"
1,0,1,"Possivelmente ele alimentava os animais quando é assim, e outra pegaram uma onça qualquer e acham que é a mesma e prenderam a onça...."
1,1,1,Solta dentro do STF ..
1,1,0,"Ele estava no meio da passarela com corrimão, ela esmagou o crânio dele ali mesmo<br>Se ele correu,  e ela o alcançou ali, somente quem viu as imagens das cameras para saber<br>Outra coisa, dificilmente eles erram a cabeça ou pescoço na hora do ataque"
1,1,1,2 caras que são feras no assunto.<br>E traduzindo o assunto o homem e o câncer do planeta acaba com os animais acaba com a natureza
1,1,1,Ela comeu o homem
1,1,1,Fizeram uma divisão pra três mas a comida não deu
1,1,1,"Se ela e lula,,,tá inocente,, não foi ela,,🇧🇷🙏👎"
1,1,1,Por isso eu prefiro ser amigo da onça
1,1,2,"Reportagem excelente, prende do começo ao fim"
0,1,1,Vc vai defender essa onça se não for o Agro vc morre de fome agora vai criticar a fazenda. Queria estar junto com o seu Jorge com um três oitão na mão que ver se essa onça ia fazer isso
2,1,1,Deixa as oncas em paz e o homem gue invade a casa dela . 😭💔🐾💔Ja nao basta desmatar metade das matas . Toca fogo nas floresta o resultafo e esse tirando a casa deles e os alimentos .gue o guer .🤷‍♀️😡🤷‍♀️
1,1,2,Ótima reportagem 👏🏻👏🏻👏🏻
1,1,1,Pq no congresso ela não vai 😡😡
1,1,1,Espírito da morte  já rodeava ele e ele não se tocou
1,1,1,Os humanos matam animais p se alimentar...agora um bixo nao pode?
1,1,1,"​@@Senhormeupastornadafaltará-q4k também pensei isso, é importante uma experiência prática."
0,1,1,"Tudo papo furado , é como os indígenas falaram as onças atacam sim qualquer ser humano basta estar na floresta ela ve o ser humano como qualquer outra presa"
0,1,1,Porque deixam as onças soltas?
2,2,1,Deus guarde seu Jorginho 🙏 A onça é um dos animais mais magníficos e poderosos da Terra.
1,1,0,Falou falou e não disse nada só coisas q já sabíamos
0,1,1,logico não deve matar a onça. quem ta invadido o espaço dela ?
1,2,1,Deus console também a família deste caseiro. Eu que não queria este emprego!
1,1,1,Barriga vazia
1,1,1,As pessoas que cria leis de preservação ..mora proximo da mata ?    fica a pergunta rs
1,1,1,eu prefiro as chances do interior entao
1,1,1,😂😂😂só é apenas um segundo
0,1,1,"Dizem que depois que devora carne humana, ela acostuma, correndo risco de atacar mais humanos"
1,1,1,como vc quer que o Ibama faça alguma coisa se o animal caça para sobreviver independente de ser humano ou não
1,1,1,As onças humanos e o ecosistema tudo se fode com o agronecrosio
1,1,1,"Gente, mas sabiam que a onça estava próximo a residências e só foram pegá-la após uma morte?"
0,2,1,"Tinha que meter o dedo ,  isso não serve pra nada . A vida humana em primeiro lugar"
0,1,1,Eu lhe digo fique frente a frente com uma onça pra vc vê se não vai morrer.
0,0,1,"Muita conversa fiada os patrões tem que ser responsável e outra coisa a onça não paga imposto a onça não financia o Agro então o abitate dela é onde não precisa de dinheiro pra sobreviver onça vista tem que ser morta essa é meu pensamento porque se tivesse matado ela o Jorge estaria preso então quem será responsável, e agora aparece milhões de especialistas idiotas pra falar bobagem"
1,1,0,Medida foi na cabeça e não  mostra
1,1,1,"nao sentiu dor, adrenalina faz a dor sumir, mas medo com certeza"
1,0,1,"Eu acho q ele deu mole,se sabe q tem inimigo na qbrada fka preparando.e ele sabia❤"
1,1,1,Cada vez diminui mais ainda o habitat dos animais
1,1,1,Meu Deus esse daí já volto muito 😭😭😭
1,1,0,"Hipócrita a alguns meses atrás uns cachorros pitbull mataram um pedreiro,  e não fizeram nenhum sencionalismo .... 2 pesos 3 medidas..."
1,1,0,"Mal feito,que fazer nada contra mas fasa direito"
1,1,1,Não
0,1,1,"Triste fim 😢,tem um filme a sombra e a escuridão 2 leos mataram muitos homens em Tanzânia África ,bazeado em fatos Reais só Deus"
1,2,1,Se fosse  o coitado  do homem  ter matado a onça  ele estaria preso  né.
1,1,1,"O tigrinho soltou carta msm em, se acontecer dnv vou mudar de plataforma"
1,1,1,"O fato da onça ter atacado não tem ligação com &#39;falta&#39; de comida, o próprio Leandro do iop disse isso há um tempo"
1,1,1,"Agora ta cheio de especialistas em onça em pantanal,gente que nunca saiu do asfalto virou especialista em onça"
1,1,1,A minha professora falou isso e estou curiosa agora que eu vi é um perigo
1,1,1,"Henrique, O Biólogo do Ibama e morde fronha, não sabe de nada  não e qualificado como você e o Richard, mas de uma semana para examinar o conteúdo do estômago do animal, quer dizer se não for esta as provas na barriga das outra já se perderam, o certo era capturar as três ou mais e descartando uma a uma.<br>O Biólogo do Ibama e um Burocrata, ali e um cego guiando o outro."
1,2,1,"Misericórdia.  Tadinho desse homem,  deve ter lutado mto com essa fera. Pessoas q moram nesses lugares. Precisam permanecer dentro de suas casas trancados apartir das 19.00h. Tenho um irmão gerente de fazenda em GOIÁS,  ELE FECHA AS PORTAS AS 19.00H E TEM VÁRIAS ARMAS.😢😢"
0,1,1,Extinção??? Quem TÁ correndo riscos de extinção é o ser humano ELAS que estão atacando o homem ☹
1,1,1,​@@Alisson00001Você viu o vídeo? Porque o que eu vi só mostrava o sangue no chão depois do suposto ataque.
1,1,1,Então  eles  dizem  que  onça  e   sucuri   não  atacam .vem da  sopa aqui  no Amazonas . Sei  não   desses     biologos  em.
1,1,1,esses caras ai so porque estudaram sabem de tudo vai pro pantanal fica de cara com uma pintada ai eu quero ver mané
1,1,1,"Só você, eu, a torcida do Corinthians e a do Flamengo."
2,2,1,"Mas é verdade, tanto ele quanto ela perderam o medo um do outro. Porém, ele foi ingênuo e ela predadora. Não que ele estevisse errado, mas ele agiu como humano e ela como onça. E só."
1,1,0,Cara colocaram o vídeo como se fosse uma reconstituição feita por computador! Tudo por like
1,1,1,No video do sobrinho antes da morte de seu jorge mostra pegadas de 2 onças juntas e no dia do ataque aparece pegadas de uma onça. Resumo q na mata duas ou mais devoraram....
1,1,1,"Uma vez era criança tinha uns 6 7 anos o cachorro do vizinho grandão veio para cima de mim eu lembrei Se correr o bicho pega ,então parei, encarei ele ,abrir os braços, e comecei a gritar o mais alto que eu podia ele correu de mim😂😂"
1,1,1,Solta no congresso
1,2,1,Descanse em paz senhor Jorge. Meus sentimentos à família. Que a sua morte não tenha sido em vão. Que medidas preventivas sejam tomadas para que ataques assim não se repitam.
1,1,1,@irad.2603  😂😂😂😂😂😂😂😂😂
1,1,1,Infelizmente ele deu mole aonde eu sabendo a presença de onça ali eu não ia andar com o revólver carregado
1,1,1,Eu vejo como tinha uma ai que era mansa veio a outra disputar de território . e muito perigoso a  que venceu a disputa que nao era a mansa logico que ia pega o Jorge tb se ela tava querendo o território so para ela.
1,1,1,😔😔😔
0,1,1,Onças atacam humanos desde antes dos colonizadores chegarem na América do Sul as vezes acontece esses ataques e surpresas é um animal poderoso carnívoro imponente de grande potência e força.
1,1,1,Uma verdade
1,1,0,"Pelos vídeos e narrativas dos que ajudaram a encontrar o corpo, realmente não foi assim."
1,1,1,"Aqueles que fica pescando na beira do riu,abre o olho,Pantanal, Amazônia não  é pra amador!"
1,1,1,"@@kinggohan026 o Henrique já trabalhou em fiscalização, noutro podcast ele falou dos flagrantes que deu em traficantes de aves"
1,1,0,"Unoca coisa q descordo e q o agronecocio prejudica as oncas , o prorio leandro silveira ja disse q o agro favorece as onças,  por lei o agro tem q preservar parte da propriedade , as lavouras alimenta as presas das onças com isso elas reprodfuzem aumentando a oferta de alimento oras onças isso ja e provado , as oncas se adaptam casa comida e corredor , o agro indiretamente aumentou e muito as onças"
1,1,1,Tem que ter uma dose
1,1,1,Tu fez curso de burrice foi?
2,1,1,"Bem, o ser humano está invadindo o habitat delas, ok????<br>Mas  as guerras matam mais do que Onça. A Covid matou mais do que Onça, o mosquito mata mais do que Onça.<br>A Fera Humana mata dez vezes mais.<br>Nao há razao para tanto alarde.<br>Se tem &quot; tanto&quot; medo de  Onça, nao entre na floresta, fica na cidade,  e enfrenta  a Fera Humana."
1,1,1,Devia ter armado um canhão no quintal... miou é chumbo grosso... O couro a gente faz tapete.
1,1,0,Você está corretamente certo......não foi assim mesmo não <br>Só quem vive na natureza tem o conhecimento evidente
1,1,1,O biólogo de apartamento fica só dando pitaco o tempo todo... tá doido Vilela... Trouxe esse xarope do Henrique só pra estragar a entrevista pô!
1,1,1,Boa tarde eu quero saber a verdade de gorje anca
0,1,1,Essa onça  merece ė  chumbo
1,1,1,"Acho que a que estava sempre próxima, não fez mal a ele , estava acostumada a estar ali . Uma outra que dominou o local o atacou por isso aquela pega ali estava magra"
1,1,1,Essas sao as leis de hoje estao dando mais valor a um animal de alta perigosidade dessa .. doque um ser humano !
1,1,1,Estava faminta né.<br>Então é isso.
1,1,1,É muito importante termos( a oportunidade )de termos biólogos podendo nos dar informações.
2,1,1,À. Onça. Só. Pegou. Ó jogar. Porque ele vacilou. À onça. Não deve. Sé morta.😅😂😂😂😂😂😂.
1,2,1,"Humanos importam, tem alma!!!"
1,2,1,Muitos triste sem nenhum familia  ao lado dele pra ajudar ele pra acompanhar ele.  O  quanto desespero ele deve esta Se sentindo na hora que foi atacado 😢
1,1,1,Essa onça tem de estar no congresso de Brasília la fazia uma limpa
1,1,1,Se nao tiver armado e dificil lutar contra esse grande felino.. triste uma situação dessa
0,1,1,Para mim mata todas não faz falta para mim...deixar comer o ser humano pode...gente  pessoas sem cérebro
1,1,1,Esse lugar aí nesse pesqueiro nessa região e terra de jagunsso
1,1,1,Força geralmente quando ela tá que ela morde o cranio
2,1,1,Gosto porque vcé fala com respeito uma inteligência daí o governo jamais poderia deixar pegar essas terras são a sobrevivência delas daí ainda têm pressas fáceis vão mesmo a culpa deixar as pessoas invadirem o espaço delas 😮 obrigada bom dia abençoado pra todos nós 🙏
1,2,1,"Lamento informar, mas para a família e amigos do senhor Jorge, retratar a cena nunca será de maneira respeitosa. Imagino o trauma dos familiares ao assistir esse  vídeo.  A eles meus sentimentos  😢 🙏"
0,0,1,"@@terepavan2315 Essa falácia de &quot;destruímos a casa deles&quot; tem q pensar melhor, nós também fazemos parte do reino animal e como os demais buscamos por sobrevivência, o caseiro não estava ali por esporte, estava para seu próprio sustento. e a onça logicamente também busca sua sobrevivência. É logico que ela o atacaria ao ter uma oportunidade seja ali ou em qualquer lugar. Infelizmente ele parece nao ter tomado as medidas de segurança necessárias e aconteceu essa fatalidade."
1,1,1,Pela
1,1,1,"😅 se encontrar uma onça ligar pro corpo de bombeiros , e da tempo? 😂"
1,1,1,A Onça não é a invasora da história. Então......
1,1,1,"Nunca vi uma de perto, só por fotos mas sou especialista, não me faça perguntas que eu não te direi mentiras."
1,1,2,Excelente vídeo.  Deixei um like .
2,1,1,"Todo ato tem sua consequência,esses ribeirinhos exploram o turismo ILEGAL na região, coitada da onça que não teve paz até agora,essa é a verdade"
1,1,1,Não concordo as onças atacan sim é o extinto de qualquer animal predador da natureza.
1,1,1,"A onça não conduz a caça nestas condições. Como um homem é muito fraco, perante sua força, é muito rápido. Ela só o larga, depois de quase morto, pra descansar e carregar, pra um lugar seguro."
2,1,1,"Felinos,são muito.inteligentes"
1,1,1,"Esta e a casa dos animais, humano deve aprender a respeitar a natureza deixar oa animais em paz."
1,1,1,Parei de assistir quando já mostrou um leopardo ao invés de uma onça pintada
1,1,1,Felino com a mordida mais forte do mundo não dá para vacilar
2,2,1,"Meus sentimentos aos familiares 😢 muito triste o que aconteceu, lamentável 😢😢. Só que as pessoas esquecem que é um animal selvagem da matas, são caçadores. Os animais selvagem não tem sentimentos e não sabem se sua presas são humanos ou bichos, infelizmente foi um acidente uma morte muito horrível 😞. Os próprios seres humanos não tem piedade da sua própria raça matam, estrupa, jogam seus filhos recém nascidos no lixo, matam seus próprios filhos e filhos matam seus próprios pais, essa raça sim é perigosa, e fazem sem ter um sentimento e dor ao próximo..... A pior raça não é os animais selvagem, e sim o próprio seres humanos."
1,1,1,"É uma tristeza, nunca é um criminoso que acaba com o meio ambiente, mas sempre uma vítima, e mais, dói dizer isso mas se ela não for sacrificada, vai ter mais gente viu, e inocente, essa área é cheia de criança que acorda de madrugada pra ir para meio da rua na mata fechada esperar por ônibus escolar."
1,1,1,"Cevar: cativar,acostumar"
1,1,1,"Ñ fazia parte,  pantanal todo queimado vai comer oq achar pela frente"
1,1,1,"Cara, que dó deu vendo ele nos vídeos. Que descanse em paz."
0,2,1,Ainda aparece gente defendendo ela .quem vai defender os familiares do morto
2,2,1,"Lamentável, mas vamos falar, estão acabando com o habitat dessas onças,,,desmatam fazem casas e eles?"
0,1,1,"Uma onça que atacar e comer uma pessoa, se não for capturada, vai acabar atacando outras pessoas?"
1,2,1,Coitado.<br>Que Deus o receba.😢
1,1,1,As palavras tem poder!!!
1,1,1,Favor colocar essa onça junto do Alexandre de Moraes
1,1,2,Excelente vídeo
2,1,1,tomara q a onça esteja bem
1,0,1,Como pode um caseiro não criar um cachorro. O cachorro ele avisa sempre que percebe a presença de algum estranho se aproximando.
1,1,1,Solta ela no STF
1,1,1,7 no
1,0,1,O cara ficava andando de noite quando as onças tava rodeando a casa ... sabe Deus o que ele fazia ai sozinho pra ter un fim assim ...triste
1,1,1,"Meu Deus , essa onça deveria estar com muita fome pra ter feito isso."
1,0,1,Vendo os rastros em torno no quintal (terreiro) e não se precaver ou pedir assistência ambiental é muita simplicidade desse senhor que confiou de mais além das imagens das câmeras de monitoramento que praticamente toda noite tinha filmagens e aparições das Onças é inacreditável a imprudência era nítido essa fatalidade o homem estava convivendo com as onças diariamente.
1,1,1,Deus usou ele.pra alerta  o seu Jorge 😢
1,2,1,"Mais de uma tinha la, tem uma filmagem dele falando de briga de onças, que seriam &quot;Marido e Mulher&quot;. Uma pena a morte dele."
1,1,0,Não foi assim que aconteceu. Parabéns pela tentativa de like e sucesso em Views. Mas terá 1 deslike.
1,1,1,Como eles sabe q é a mesma onça
1,1,1,Tem muita coisa escondida dese caso mas em fim Deus e justiça  um dia vai aparecer
0,1,1,Na minha opinião essa onça de veria passar pelo processo de eutanásia para evitar mais animais na região da propriedade pois se ela for solta talvez ela vá atrás de humano novamente
1,1,0,Cade o ataque
1,2,1,Imagino o desespero dessa pessoa
1,1,2,Você falou tudo meu amigo
1,1,1,"Então né ai no pantanal aconteceu essa fatalidade com o Jorge,falha dos proprietários da fazenda em não terem construido uma cerca de proteção em volta do terreno onde ficava a casa e os barcos,um cão de guarda pouco iria adiantar pois já vi muitos videos onde as onças entram sorrateiramente e atacam os cachorros que mal conseguem latir,pois na maioria das vezes estão dormindo,mas ajudaria em caso de ter uma boa cerca elevada de pelo menos uns dois metros de altura telada e uns mais uns dois metros acima de fios de arame dos mesmos que são usados para cercar a pastagem ,uma boa iluminação e uma boa arma de fogo para uso pessoal do caseiro;mas hoje com essa lei do desarmamento ,animais tem mais valores do que seres humanos,fica tudo mais dificil ; outro ponto que eu gostaria de esclarecer que ninguem citou aqui nem em outros canais de comunicação, o maior responsavel por tudo isso é o proprio órgão de defesa ambiental,onde para realizar as obras de saneamento eletrico e outros o proprio governo federal desmata e transforma regioes de florestas em alagados como aconteceu aqui no estado de SP MT,PA,hoje não podemos mais nem ir a um rio ou riacho para tomar um simples banho que estamos correndo perigo de vida,onde antes não existiam onças mesmo as pardas que são mais inofencivas do que as pintadas,hoje devido ao grande numero de represas hidreletricas os orgãos ambientais estão realizando a soltura daquelas queforam capturadas em regiões onde não existiam,assim acontece com as sucuris,com os jacares e outros mais,sem falar dos javalis que estão infestando nosso ambiente e destruindo tudo o que encontram pela frente,aí no pantanal tem os porcos do mato ,os quexadas,outra especie destruidora e so atacam em bandos,não se intimidam com a presença humana,ao contrário,partem pra cima, mas sei que a falha nesse caso foi toda humana,por mais exepriente que seu Jorge fosse ,um simples vacilo da parte dele ,teve sua vida ceifada."
1,1,0,Nada a ver coisa sem noção.
2,1,1,"A onça não tem culpa de nada. O TERRITÓRIO É DELAS E DOS ANIMAIS ,  é floresta  invadida e eles caçam animais que são o alimento das onças.   Acho um absurdo o ser humano invadir as florestas 😡😡😡 ABSURDO CAÇAR E PRENDER A ONÇA. Que não matem ela. Tem que soltar em outro local bem longe em floresta densa.  DEIXEM OS ANIMAIS EM PAZ 😡😡😡"
1,1,1,Se tá ta brincadeira que se tá comparando uma atitude de uma mulher que pensa com um animal?<br><br>Eu não li isso não mano<br>Diz que não por favor 🤦🏻‍♂️
1,1,0,"Agora lascou,nem a polícia sabe como foi e vem um ser querer simular o que uma perícia técnica nem foi concluída 😅 menos ,bem menos ! Tudo tem limite,respeite a inteligência humana."
0,1,1,Como ele tem família aí se souta ela cera abatida pelo menos se fosse um parente meu provavelmente ela teria sido abatida antes de ser capturada.
1,1,1,A realidade e diferente do faz de conta😅😅do mundo da fantasia😅😅
2,2,1,"Diz assim até ocorrer com seu pai, sua mãe, irmãos, filhos, etc. Tenhamos mais empatia pelo próximo e pelos animais também. Guarde seus pensamentos perversos somente para si."
1,1,1,A natureza da sinal
1,1,1,Deus
1,0,1,Se tivesse um revólver : sobreviveria
1,1,1,@@CleumaFurtado-m2j boa tarde nossa coitada de você levou um tiro e mesmo assim negaram um benefício que é seu direito né. Eu também estou passando uma raiva na cidade que moro vou passar por perícia com laudo de ortopedista ressonância tomografia coluna toda estourada andando com dificuldades eles falam que a gente não tem nada como assim com todos os laudo nas mãos eu fico triste porque eu não estou mentindo então quem está mentindo são eles. Logo Deus toma providências em nosso favor também sou evangélica.
1,1,1,"Contagem regressiva pra onças que restam  desaparecer do Pantanal, estão acabando cm os animais e tudo. Eu respeito a dor dos familiares, mas o pessoal que anda armados vão matar todas as onças que avistarem, se antes já matava agora então."
1,2,1,Meu Deus isso tudo é muito triste  meus sinceros sentimentos a todos os familiares e amigos
1,2,1,"Q Deus o tenha e conforte aos familiares! Eu não sei se estou &quot; certa&quot; ou algo me diz fortemente no meu interior , q de repente por lidar muito cm peixes diariamente, talves o animal tenha se habituado ao cheiro e consequentemente por gostar de peixe, talves o sr Jorge habitualmente tenha cheiro de peixe todos os dias e isso pode ter aguçado o interesse do animal nele! Sei lá, pode ser só uma intuição boba minha ou talves não, só Deus É Quem de fato sabe! E parabéns ao canal, informativo direto e reto, raro de acontecer pq os sensacionalistas se multiplicam absurdamente a cada dia! Até me inscrevi, pq já vi q é um canal limpo, longe das mentiradas constantes hj em dia! Esse mundo virtual hj a qualquer sensacionalismo impera aos tolos, mas qm é sagaz e busca ser sábio a cada dia, sabe apreciar oq é de verdade cm gosto! 👏👏👏"
0,1,1,"Quando um bixo desse porte caça e come um humano precisa ser abatido infelizmente, porque ele entende que pode continuar caçando humanos e dai nao para mais…"
0,1,1,Tá matando gente então tem q matar esses bichos... ou os bichos tem mais valor do q o homem
1,1,2,Boa reportagem
1,1,1,Se lascou jorgiiiiiiiii😂
0,1,1,É mesmo é bem desse jeito se o cara dê de cara com uma onça ele tem é que orar muito pra não ser atacada e ser morto se ele não tiver com nada pra se defender. O instinto da onça é predar seja o que for é instinto dela.
1,1,1,Será mesmo que aquela onça é realmente o mesmo animal do ataque??? Meu questionamento é pelo fato do animal ter devorado a metade de um homem adulto... uma média de 40 kilos de carne... achei a barriga um pouco &quot;murcha&quot; pra quem se alimentou tanto recentemente.
0,1,1,Se ela se alimentar com carne humano sim ela volta bicho e da natureza
1,0,1,"O problema que esse senhor confiou demais deu vacilo, que Deus o tenha😢"
1,1,1,Richard não falou nada e explicou melhor 😂😂😂
